iso2c,country,year,SP.POP.0004.FE.5Y,SP.POP.0004.MA.5Y,SP.POP.0509.FE.5Y,SP.POP.0509.MA.5Y,SP.POP.1014.FE.5Y,SP.POP.1014.MA.5Y,SP.POP.1519.FE.5Y,SP.POP.1519.MA.5Y,SP.POP.2024.FE.5Y,SP.POP.2024.MA.5Y,SP.POP.2529.FE.5Y,SP.POP.2529.MA.5Y,SP.POP.3034.FE.5Y,SP.POP.3034.MA.5Y,SP.POP.3539.FE.5Y,SP.POP.3539.MA.5Y,SP.POP.4044.FE.5Y,SP.POP.4044.MA.5Y,SP.POP.4549.FE.5Y,SP.POP.4549.MA.5Y,SP.POP.5054.FE.5Y,SP.POP.5054.MA.5Y,SP.POP.5559.FE.5Y,SP.POP.5559.MA.5Y,SP.POP.6064.FE.5Y,SP.POP.6064.MA.5Y,SP.POP.6569.FE.5Y,SP.POP.6569.MA.5Y,SP.POP.7074.FE.5Y,SP.POP.7074.MA.5Y,SP.POP.7579.FE.5Y,SP.POP.7579.MA.5Y,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y
JP,Japan,1980,7.034424671,7.600977884,8.291855257,8.942165514,7.379573097,7.942314145,6.752277692,7.276830849,6.565358755,7.041844965,7.65294594,8.183752435,8.95005795,9.44991472,7.728127914,8.009155781,7.02344778,7.260363716,6.797534733,6.890045783,6.191755574,6.042354642,5.232206403,4.311115341,4.262267073,3.390164542,3.743733068,3.021681066,2.83245338,2.257547988,1.937650761,1.426874144,1.624329952,0.952896487
JP,Japan,1981,6.495683551,7.021602972,8.226336714,8.877063661,7.547851809,8.125110615,6.814510975,7.342629736,6.467751574,6.941553991,7.317617593,7.834961422,8.822259937,9.341281557,7.947276429,8.256270771,7.060520971,7.298503078,6.802637556,6.911034687,6.29143845,6.2198524,5.380224213,4.554009237,4.357628055,3.43655815,3.789295811,3.015410875,2.928878784,2.309879106,2.005834377,1.475592695,1.744253202,1.038685046
JP,Japan,1982,6.238862565,6.745714964,7.996036097,8.632257235,7.73008009,8.324458274,6.861256124,7.388436849,6.427753134,6.90380456,6.999974571,7.497735492,8.53147345,9.056275133,8.207516918,8.556696296,7.099364415,7.330876126,6.775746382,6.903851982,6.367123877,6.333813508,5.516408769,4.835336126,4.477352946,3.503423412,3.807356552,2.98933499,3.035462122,2.366698217,2.072915277,1.518667502,1.855316709,1.112619334
JP,Japan,1983,6.172528485,6.675572059,7.618189239,8.226831536,7.906495573,8.518871496,6.911247974,7.436845822,6.435078043,6.916630981,6.720042407,7.196577538,8.138404947,8.658942342,8.454550638,8.849429004,7.158837382,7.382922601,6.737834539,6.887266334,6.422005335,6.400900911,5.642055655,5.128481097,4.615402073,3.600631246,3.818337509,2.961837465,3.144055056,2.423120003,2.145819691,1.561547869,1.959115451,1.173591695
JP,Japan,1984,6.136337915,6.638324681,7.175617218,7.751344811,8.019836232,8.646235384,6.99627359,7.525243998,6.471414332,6.959082494,6.496998307,6.95657643,7.736393756,8.248344631,8.608525078,9.044572515,7.266440164,7.49246789,6.718597366,6.886102363,6.461273289,6.448549259,5.761055782,5.397475222,4.762928844,3.743424445,3.852973908,2.958387751,3.243253477,2.470616399,2.232593618,1.610095182,2.059487123,1.223156547
JP,Japan,1985,6.022317875,6.51734076,6.787477881,7.335126717,8.007104154,8.637941478,7.128625626,7.668327776,6.522418992,7.0152944,6.338951448,6.788835456,7.381594268,7.883820394,8.62129968,9.087605711,7.431281876,7.674281446,6.734093871,6.913603178,6.487560726,6.492438755,5.873718317,5.62031163,4.912922771,3.937416265,3.927514244,2.992666328,3.326690231,2.504729685,2.335861826,1.666969587,2.160566214,1.263290435
JP,Japan,1986,6.002782722,6.499386838,6.486575355,7.014542611,7.857970457,8.483655691,7.27163673,7.813920263,6.560521013,7.0513027,6.240834734,6.688120833,7.052936746,7.542417749,8.490474504,8.975477188,7.63668451,7.907900947,6.765724042,6.948963765,6.489483556,6.511123463,5.966053988,5.781358193,5.051441495,4.158529078,4.018619064,3.037734341,3.371815688,2.505508016,2.427064237,1.720259316,2.309381159,1.359799009
JP,Japan,1987,5.86268504,6.35177623,6.261529511,6.776073708,7.599431045,8.212326516,7.469038165,8.0268576,6.599690298,7.082191563,6.211752118,6.662816246,6.766255766,7.241432019,8.228862939,8.723461908,7.906001746,8.220223717,6.82064773,7.002649582,6.481669212,6.527310223,6.055119681,5.905376803,5.196150589,4.430168422,4.145747374,3.110683492,3.404531601,2.498495554,2.536402314,1.78260949,2.454484871,1.445546928
JP,Japan,1988,5.635283771,6.109909041,6.113681265,6.621158458,7.262875714,7.855485987,7.671103411,8.255019385,6.650782392,7.120870172,6.230403722,6.688010188,6.528658084,6.990315746,7.88028788,8.376753564,8.177196569,8.541857102,6.907563496,7.08849207,6.47424688,6.548103839,6.135475438,5.999251452,5.341439963,4.723116773,4.297988675,3.216721954,3.438767027,2.49664847,2.654888757,1.847977142,2.599356956,1.520308656
JP,Japan,1989,5.403701905,5.863134833,6.006520075,6.509921406,6.919102935,7.489336868,7.796047293,8.40626811,6.733445063,7.19371907,6.266167028,6.727229528,6.340313491,6.791623661,7.516727467,8.010276898,8.354782329,8.765294015,7.03780786,7.226341288,6.480945523,6.580521118,6.198069477,6.073418141,5.478786308,4.993648887,4.458303898,3.363815076,3.494924486,2.515810738,2.766443156,1.904313393,2.747911707,1.585326968
JP,Japan,1990,5.225211763,5.673382567,5.880276399,6.377429467,6.631633921,7.183772304,7.79443145,8.421548897,6.858144776,7.318460487,6.302465763,6.760221885,6.199757785,6.644757176,7.188655812,7.677120477,8.383543052,8.827854418,7.214013715,7.423923122,6.511927771,6.630657789,6.23966089,6.136294251,5.603048155,5.216196364,4.616451073,3.554914987,3.584611045,2.564792805,2.862050967,1.946116382,2.904115662,1.642556622
JP,Japan,1991,5.062972883,5.501227036,5.729758695,6.21817676,6.406483063,6.944252348,7.689984808,8.321339763,7.047189432,7.533490351,6.359447293,6.814389542,6.111500889,6.553490906,6.894013535,7.374027384,8.280637077,8.744992981,7.432000446,7.670389673,6.560378437,6.684929658,6.25856597,6.172131524,5.707098343,5.375469813,4.760889035,3.763376388,3.68185586,2.613592344,2.912527304,1.956539932,3.10469693,1.758183598
JP,Japan,1992,4.926443312,5.355927601,5.577847557,6.057412984,6.226273735,6.753638621,7.455154144,8.075053338,7.28463857,7.810288966,6.415514655,6.863043632,6.082562338,6.527087196,6.629499948,7.098229012,8.039328601,8.514221987,7.705182856,7.985921113,6.622345668,6.746648843,6.260490061,6.199654564,5.8017545,5.496350056,4.907405066,4.013862666,3.809103628,2.681473268,2.950033441,1.957479665,3.30642192,1.863706487
JP,Japan,1993,4.820589627,5.243225159,5.424456343,5.894955215,6.078093862,6.597781397,7.13858841,7.736801796,7.519267026,8.089416769,6.483051338,6.923459035,6.099208367,6.549250577,6.402944107,6.859457218,7.705616018,8.18348663,7.975680139,8.30555355,6.708383489,6.831718628,6.25731326,6.227285203,5.883300321,5.587011794,5.051469978,4.280149583,3.957037372,2.775296743,2.990163214,1.962718081,3.504837129,1.952432623
JP,Japan,1994,4.73222545,5.149427355,5.274467039,5.735994261,5.93594368,6.448320144,6.822074181,7.397981633,7.672921844,8.279743168,6.58682922,7.028644302,6.139716912,6.594101358,6.220098654,6.666547205,7.357092007,7.834139248,8.156449853,8.531399708,6.83634201,6.967388346,6.267578916,6.266590759,5.947969221,5.661856394,5.188711617,4.526473964,4.113974191,2.906849936,3.054234316,1.987022787,3.693370889,2.017519432
JP,Japan,1995,4.654265673,5.067295411,5.135295299,5.588380888,5.782675582,6.286605294,6.556667294,7.115603966,7.697988595,8.325614868,6.738107732,7.194591443,6.189549622,6.644734277,6.084168911,6.524683667,7.044582684,7.519306482,8.195066305,8.604402617,7.01251612,7.165556044,6.302704282,6.324582702,5.994474778,5.730084634,5.315581098,4.732294087,4.272542826,3.080910387,3.152456918,2.036972256,3.871356281,2.058380979
JP,Japan,1996,4.584000308,4.995040224,5.011913344,5.459077221,5.634170949,6.131888332,6.310687994,6.847127425,7.595389164,8.228818407,6.936312043,7.422523028,6.251315163,6.705688512,6.004035351,6.443599337,6.762794048,7.231887622,8.106645795,8.537495862,7.24034116,7.421563206,6.360286323,6.390417497,6.022359627,5.777673906,5.4232677,4.883800392,4.415511775,3.271018632,3.252995759,2.089495468,4.087973498,2.162884931
JP,Japan,1997,4.543548643,4.955230188,4.894029229,5.335264893,5.489199801,5.981097449,6.118490121,6.640431757,7.34913924,7.966295969,7.18282466,7.712934156,6.311143812,6.76010297,5.981335095,6.425378066,6.50908176,6.969469097,7.879162105,8.323267916,7.522373902,7.745553111,6.430543545,6.461997066,6.034534301,5.81931038,5.523015642,5.003536818,4.562646709,3.498253931,3.379572969,2.153097837,4.289358466,2.248778396
JP,Japan,1998,4.520257048,4.934210563,4.783516936,5.21927809,5.345896123,5.830770863,5.973477618,6.490703428,7.007883517,7.591613203,7.425813229,8.00548007,6.383043538,6.827198824,6.003386764,6.454988963,6.292776154,6.743423877,7.55913264,8.010212656,7.801934809,8.074295433,6.525328576,6.556916429,6.043157325,5.86328759,5.6118047,5.099868702,4.710198376,3.740407969,3.525589222,2.237132298,4.486803425,2.32021104
JP,Japan,1999,4.497748219,4.914119438,4.683491666,5.114624458,5.206899521,5.684003276,5.846681304,6.364988515,6.660806285,7.207406295,7.582671636,8.20225182,6.492356199,6.940955079,6.049007911,6.50726528,6.11972681,6.562924618,7.223466564,7.678474078,7.992500045,8.311132662,6.662796388,6.703327847,6.065916838,5.919833704,5.68599864,5.185272077,4.85366939,3.966852433,3.68250699,2.35482577,4.693755595,2.38174265
JP,Japan,2000,4.464599441,4.882551533,4.59771275,5.025458697,5.075441456,5.545460654,5.714132643,6.233762364,6.371378645,6.889329319,7.600879364,8.239676273,6.650306421,7.117611918,6.104491005,6.566381005,5.993159033,6.433426803,6.923115515,7.380836072,8.042168706,8.39812526,6.849366212,6.913738269,6.113933282,5.995426204,5.744584296,5.267679913,4.989470196,4.160836421,3.845040884,2.511806388,4.920220151,2.437892909
